time, Quad.Est.E.Pos, Quad.Est.S.Z
2.689987,0.182615,0.347697
2.694987,0.182055,0.347880
2.699987,0.181342,0.348002
2.704986,0.202913,0.346894
2.709986,0.202828,0.347007
2.714986,0.202552,0.347177
2.719985,0.202396,0.347291
2.724985,0.202072,0.347463
2.729985,0.201813,0.347578
2.734984,0.201445,0.347751
2.739984,0.201203,0.347866
2.744983,0.200815,0.348041
2.749983,0.200516,0.348158
2.754983,0.200040,0.348334
2.759982,0.199685,0.348452
2.764982,0.199158,0.348629
2.769982,0.198696,0.348748
2.774981,0.198107,0.348927
2.779981,0.197731,0.349047
2.784981,0.197093,0.349227
2.789980,0.196943,0.349348
2.794980,0.196319,0.349530
2.799979,0.195791,0.349652
2.804979,0.221037,0.348548
2.809979,0.221036,0.348660
2.814978,0.220740,0.348830
2.819978,0.220439,0.348943
2.824978,0.220171,0.349114
2.829977,0.220029,0.349228
2.834977,0.219758,0.349401
2.839977,0.219573,0.349516
2.844976,0.219224,0.349690
2.849976,0.219008,0.349806
2.854975,0.218683,0.349982
2.859975,0.218456,0.350099
2.864975,0.218105,0.350276
2.869974,0.217865,0.350394
2.874974,0.217512,0.350572
2.879974,0.217278,0.350692
2.884973,0.216963,0.350871
2.889973,0.216815,0.350992
2.894973,0.216497,0.351173
2.899972,0.216283,0.351294
2.904972,0.208182,0.350194
2.909971,0.207918,0.350306
2.914971,0.207396,0.350475
2.919971,0.207004,0.350588
2.924970,0.206453,0.350758
2.929970,0.206021,0.350872
2.934970,0.205422,0.351043
2.939969,0.205009,0.351158
2.944969,0.204430,0.351331
2.949969,0.204070,0.351447
2.954968,0.203480,0.351622
2.959968,0.203051,0.351738
2.964967,0.202433,0.351914
2.969967,0.202021,0.352032
2.974967,0.201422,0.352210
2.979966,0.201007,0.352329
2.984966,0.200421,0.352508
2.989966,0.199978,0.352627
2.994965,0.199375,0.352808
2.999965,0.199040,0.352929
3.004965,0.224839,0.351833
3.009964,0.224456,0.351944
3.014964,0.223876,0.352112
3.019964,0.223373,0.352224
3.024963,0.222805,0.352394
3.029963,0.222486,0.352507
3.034962,0.221851,0.352678
3.039962,0.221428,0.352793
3.044962,0.220830,0.352965
3.049961,0.220450,0.353080
3.054961,0.219886,0.353254
3.059961,0.219486,0.353370
3.064960,0.218878,0.353545
3.069960,0.218507,0.353663
3.074960,0.217937,0.353840
3.079959,0.217580,0.353958
3.084959,0.217034,0.354136
3.089958,0.216722,0.354256
3.094958,0.216164,0.354435
